code,id,name,parent_id:id
,vat_code_chart_root,"Imposte Italia (V1.00)",
ITC0V,template_ivacode_pagata,"IVA a credito",vat_code_chart_root
ITC0D,template_impcode_pagata,"Imponibile IVA a credito",vat_code_chart_root
ITD0V,template_ivacode_riscossa,"IVA a debito",vat_code_chart_root
ITD0D,template_impcode_riscossa,"Imponibile IVA a debito",vat_code_chart_root
ITP0V,template_ivacode_dapagare,"IVA cred.sosp.",vat_code_chart_root
ITP0D,template_impcode_dapagare,"Imponibile IVA cred.sosp.",vat_code_chart_root
ITS0V,template_ivacode_sospesa,"IVA deb.sosp.",vat_code_chart_root
ITS0D,template_impcode_sospesa,"Imponibile IVA deb.sosp.",vat_code_chart_root
ITC0N,template_ivacode_pagata_ind,"IVA indetraibile",vat_code_chart_root
ITC22V,template_ivacode_pagata_22,"IVA 22% da acquisti",template_ivacode_pagata
ITC22D,template_impcode_pagata_22,"Imponibile IVA 22% da acquisti",template_impcode_pagata
ITD22V,template_ivacode_riscossa_22,"IVA 22% su vendite",template_ivacode_riscossa
ITD22D,template_impcode_riscossa_22,"Imponibile IVA 22% su vendite",template_impcode_riscossa
ITP22V,template_ivacode_dapagare_22,"IVA 22% sosp. da Acq.",template_ivacode_dapagare
ITP22D,template_impcode_dapagare_22,"Imponibile IVA 22% sosp. da Acq.",template_impcode_dapagare
ITS22V,template_ivacode_sospesa_22,"IVA 22% sosp. da Vend.",template_ivacode_sospesa
ITS22D,template_impcode_sospesa_22,"Imponibile IVA 22% sosp. da Vend.",template_impcode_sospesa
ITC22N,template_ivacode_pagata_22i,"IVA 22% (100% indetraibile)",template_ivacode_pagata_ind
ITC22I,template_impcode_pagata_22i,"Imponibile IVA 22% indetraibile",template_impcode_pagata
ITC22d20N,template_ivacode_pagata_22i80,"IVA 22% (quota 80% indet.)",template_ivacode_pagata_ind
ITC22d20V,template_ivacode_pagata_22d20,"IVA 22% (quota 20% detr.)",template_ivacode_pagata
ITC22d20D,template_impcode_pagata_22d20,"Imponibile IVA 22% (20% detr.)",template_impcode_pagata
ITC22d50N,template_ivacode_pagata_22i50,"IVA 22% (quota 50% indet.)",template_ivacode_pagata_ind
ITC22d50V,template_ivacode_pagata_22d50,"IVA 22% (quota 50% detr.)",template_ivacode_pagata
ITC22d50D,template_impcode_pagata_22d50,"Imponibile IVA 22% (50% detr.)",template_impcode_pagata
ITC22d70N,template_ivacode_pagata_22i30,"IVA 22% (quota 30% indet.)",template_ivacode_pagata_ind
ITC22d70V,template_ivacode_pagata_22d70,"IVA 22% (quota 70% detr.)",template_ivacode_pagata
ITC22d70D,template_impcode_pagata_22d70,"Imponibile IVA 22% (70% detr.)",template_impcode_pagata
ITC22d80N,template_ivacode_pagata_22i20,"IVA 22% (quota 20% indet.)",template_ivacode_pagata_ind
ITC22d80V,template_ivacode_pagata_22d80,"IVA 22% (quota 80% detr.)",template_ivacode_pagata
ITC22d80D,template_impcode_pagata_22d80,"Imponibile IVA 22% (80% detr.)",template_impcode_pagata
ITC4V,template_ivacode_pagata_4,"IVA 4% da acquisti",template_ivacode_pagata
ITC4D,template_impcode_pagata_4,"Imponibile IVA 4% da acquisti",template_impcode_pagata
ITD4V,template_ivacode_riscossa_4,"IVA 4% su vendite",template_ivacode_riscossa
ITD4D,template_impcode_riscossa_4,"Imponibile IVA 4% su vendite",template_impcode_riscossa
ITC4N,template_ivacode_pagata_4i,"IVA 4% (100% indetraibile)",template_ivacode_pagata_ind
ITC4I,template_impcode_pagata_4i,"Imponibile IVA 4% indetraibile",template_impcode_pagata
ITC4d50N,template_ivacode_pagata_4i50,"IVA 4% (quota 50% indet.)",template_ivacode_pagata_ind
ITC4d50V,template_ivacode_pagata_4d50,"IVA 4% (quota 50% detr.)",template_ivacode_pagata
ITC4d50D,template_impcode_pagata_4d50,"Imponibile IVA 4% (50% detr.)",template_impcode_pagata
ITC10V,template_ivacode_pagata_10,"IVA 10% da acquisti",template_ivacode_pagata
ITC10D,template_impcode_pagata_10,"Imponibile IVA 10% da acquisti",template_impcode_pagata
